----------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------
 LID                                      LID(String)      Filename         Verno                                 Description    Category   Attribute
2822                  NVRAM_EF_UL1_PATHLOSS_BAND6_LID          UL16           000                                      (null)      0x1400      0x0000
2823                  NVRAM_EF_UL1_PATHLOSS_BAND7_LID          UL17           000                                      (null)      0x1400      0x0000
2824                  NVRAM_EF_UL1_PATHLOSS_BAND8_LID          UL18           000                                      (null)      0x1400      0x0000
2825                  NVRAM_EF_UL1_PATHLOSS_BAND9_LID          UL19           000                                      (null)      0x1400      0x0000
2826                 NVRAM_EF_UL1_PATHLOSS_BAND10_LID          UL1A           000                                      (null)      0x1400      0x0000
2827                 NVRAM_EF_UL1_PATHLOSS_BAND11_LID          ULB0           000                                      (null)      0x1400      0x0000
2835                 NVRAM_EF_UL1_PATHLOSS_BAND19_LID          ULB1           000                                      (null)      0x1400      0x0000
2836                     NVRAM_EF_UL1_TXDAC_BAND1_LID          UL1B           000                                      (null)      0x1400      0x0000
2837                     NVRAM_EF_UL1_TXDAC_BAND2_LID          UL1C           000                                      (null)      0x1400      0x0000
2838                     NVRAM_EF_UL1_TXDAC_BAND3_LID          UL1D           000                                      (null)      0x1400      0x0000
2839                     NVRAM_EF_UL1_TXDAC_BAND4_LID          UL1E           000                                      (null)      0x1400      0x0000
2840                     NVRAM_EF_UL1_TXDAC_BAND5_LID          UL1F           000                                      (null)      0x1400      0x0000
2841                     NVRAM_EF_UL1_TXDAC_BAND6_LID          UL1G           000                                      (null)      0x1400      0x0000
2842                     NVRAM_EF_UL1_TXDAC_BAND7_LID          UL1H           000                                      (null)      0x1400      0x0000
2843                     NVRAM_EF_UL1_TXDAC_BAND8_LID          UL1I           000                                      (null)      0x1400      0x0000
2844                     NVRAM_EF_UL1_TXDAC_BAND9_LID          UL1J           000                                      (null)      0x1400      0x0000
2845                    NVRAM_EF_UL1_TXDAC_BAND10_LID          UL1K           000                                      (null)      0x1400      0x0000
2846                    NVRAM_EF_UL1_TXDAC_BAND11_LID          ULB2           000                                      (null)      0x1400      0x0000
2854                    NVRAM_EF_UL1_TXDAC_BAND19_LID          ULB3           000                                      (null)      0x1400      0x0000
2855                NVRAM_EF_UL1_TXPAOCTLEV_BAND1_LID          UL1M           000                                      (null)      0x1400      0x0000
2856                NVRAM_EF_UL1_TXPAOCTLEV_BAND2_LID          UL1N           000                                      (null)      0x1400      0x0000
2857                NVRAM_EF_UL1_TXPAOCTLEV_BAND3_LID          UL1O           000                                      (null)      0x1400      0x0000
2858                NVRAM_EF_UL1_TXPAOCTLEV_BAND4_LID          UL1P           000                                      (null)      0x1400      0x0000
2859                NVRAM_EF_UL1_TXPAOCTLEV_BAND5_LID          UL1Q           000                                      (null)      0x1400      0x0000
2860                NVRAM_EF_UL1_TXPAOCTLEV_BAND6_LID          UL1R           000                                      (null)      0x1400      0x0000
2861                NVRAM_EF_UL1_TXPAOCTLEV_BAND7_LID          UL1S           000                                      (null)      0x1400      0x0000
2862                NVRAM_EF_UL1_TXPAOCTLEV_BAND8_LID          UL1T           000                                      (null)      0x1400      0x0000
2863                NVRAM_EF_UL1_TXPAOCTLEV_BAND9_LID          UL1U           000                                      (null)      0x1400      0x0000
2864               NVRAM_EF_UL1_TXPAOCTLEV_BAND10_LID          UL1V           000                                      (null)      0x1400      0x0000
2865               NVRAM_EF_UL1_TXPAOCTLEV_BAND11_LID          ULB4           000                                      (null)      0x1400      0x0000
2873               NVRAM_EF_UL1_TXPAOCTLEV_BAND19_LID          ULB5           000                                      (null)      0x1400      0x0000
2874                 NVRAM_EF_UL1_PATHLOSS2_BAND1_LID          HL10           000                                      (null)      0x1400      0x0000
2875                 NVRAM_EF_UL1_PATHLOSS2_BAND2_LID          HL11           000                                      (null)      0x1400      0x0000
2876                 NVRAM_EF_UL1_PATHLOSS2_BAND3_LID          HL12           000                                      (null)      0x1400      0x0000
2877                 NVRAM_EF_UL1_PATHLOSS2_BAND4_LID          HL13           000                                      (null)      0x1400      0x0000
2878                 NVRAM_EF_UL1_PATHLOSS2_BAND5_LID          HL14           000                                      (null)      0x1400      0x0000
2879                 NVRAM_EF_UL1_PATHLOSS2_BAND6_LID          HL15           000                                      (null)      0x1400      0x0000
2880                 NVRAM_EF_UL1_PATHLOSS2_BAND7_LID          HL16           000                                      (null)      0x1400      0x0000
2881                 NVRAM_EF_UL1_PATHLOSS2_BAND8_LID          HL17           000                                      (null)      0x1400      0x0000
2882                 NVRAM_EF_UL1_PATHLOSS2_BAND9_LID          HL18           000                                      (null)      0x1400      0x0000
2883                NVRAM_EF_UL1_PATHLOSS2_BAND10_LID          HL19           000                                      (null)      0x1400      0x0000
2884                NVRAM_EF_UL1_PATHLOSS2_BAND11_LID          ULB6           000                                      (null)      0x1400      0x0000
2892                NVRAM_EF_UL1_PATHLOSS2_BAND19_LID          ULB7           000                                      (null)      0x1400      0x0000
2893             NVRAM_EF_UL1_TXPADRIFTCOMP_BAND1_LID          HL1A           000                                      (null)      0x1400      0x0000
2894             NVRAM_EF_UL1_TXPADRIFTCOMP_BAND2_LID          HL1B           000                                      (null)      0x1400      0x0000
2895             NVRAM_EF_UL1_TXPADRIFTCOMP_BAND3_LID          HL1C           000                                      (null)      0x1400      0x0000
2896             NVRAM_EF_UL1_TXPADRIFTCOMP_BAND4_LID          HL1D           000                                      (null)      0x1400      0x0000
2897             NVRAM_EF_UL1_TXPADRIFTCOMP_BAND5_LID          HL1E           000                                      (null)      0x1400      0x0000
2898             NVRAM_EF_UL1_TXPADRIFTCOMP_BAND6_LID          HL1F           000                                      (null)      0x1400      0x0000
2899             NVRAM_EF_UL1_TXPADRIFTCOMP_BAND7_LID          HL1G           000                                      (null)      0x1400      0x0000
2900             NVRAM_EF_UL1_TXPADRIFTCOMP_BAND8_LID          HL1H           000                                      (null)      0x1400      0x0000
2901             NVRAM_EF_UL1_TXPADRIFTCOMP_BAND9_LID          HL1I           000                                      (null)      0x1400      0x0000
2902            NVRAM_EF_UL1_TXPADRIFTCOMP_BAND10_LID          HL1J           000                                      (null)      0x1400      0x0000
2903            NVRAM_EF_UL1_TXPADRIFTCOMP_BAND11_LID          ULB8           000                                      (null)      0x1400      0x0000
2911            NVRAM_EF_UL1_TXPADRIFTCOMP_BAND19_LID          ULB9           000                                      (null)      0x1400      0x0000
2912             NVRAM_EF_UL1_TXPRACHTMCOMP_BAND1_LID          UL1W           000                                      (null)      0x1400      0x0000
2913             NVRAM_EF_UL1_TXPRACHTMCOMP_BAND2_LID          UL1X           000                                      (null)      0x1400      0x0000
2914             NVRAM_EF_UL1_TXPRACHTMCOMP_BAND3_LID          UL1Y           000                                      (null)      0x1400      0x0000
2915             NVRAM_EF_UL1_TXPRACHTMCOMP_BAND4_LID          UL1Z           000                                      (null)      0x1400      0x0000
2916             NVRAM_EF_UL1_TXPRACHTMCOMP_BAND5_LID          UL20           000                                      (null)      0x1400      0x0000
2917             NVRAM_EF_UL1_TXPRACHTMCOMP_BAND6_LID          UL21           000                                      (null)      0x1400      0x0000
2918             NVRAM_EF_UL1_TXPRACHTMCOMP_BAND7_LID          UL22           000                                      (null)      0x1400      0x0000
2919             NVRAM_EF_UL1_TXPRACHTMCOMP_BAND8_LID          UL23           000                                      (null)      0x1400      0x0000
2920             NVRAM_EF_UL1_TXPRACHTMCOMP_BAND9_LID          UL24           000                                      (null)      0x1400      0x0000
2921            NVRAM_EF_UL1_TXPRACHTMCOMP_BAND10_LID          UL25           000                                      (null)      0x1400      0x0000
2922            NVRAM_EF_UL1_TXPRACHTMCOMP_BAND11_LID          ULBA           000                                      (null)      0x1400      0x0000
2930            NVRAM_EF_UL1_TXPRACHTMCOMP_BAND19_LID          ULBB           000                                      (null)      0x1400      0x0000
2931                          NVRAM_EF_UL1_AFCDAC_LID          ULBC           000                                      (null)      0x1400      0x0000
2932                          NVRAM_EF_UL1_AFCCAP_LID          ULBD           000                                      (null)      0x1400      0x0000
 107                         NVRAM_EF_BARCODE_NUM_LID          MP09           001                                      (null)      0x1000      0x0008
 108                            NVRAM_EF_CAL_FLAG_LID          MPA2           000                                      (null)      0x1000      0x0000
 109                      NVRAM_EF_CAL_DATA_CHECK_LID          MPA8           000                                      (null)      0x1000      0x0000
 165                         NVRAM_EF_IMEI_IMEISV_LID          MP0B           001                                      (null)      0x2000      0xc00a
 166                                 NVRAM_EF_SML_LID          MP33           004                                      (null)      0x4200      0xc00c
 167                            NVRAM_EF_SIM_LOCK_LID          MP6T           001                                      (null)      0x4200      0xc00c
   7                      NVRAM_EF_SYS_STATISTICS_LID          MT04           000                                      (null)      0x0000      0x0000
 121                     NVRAM_EF_AS_BAND_SETTING_LID          MT10           000                                      (null)      0x0000      0x0000
 113                  NVRAM_EF_L1_2G_RF_PARAMETER_LID          MT9W           001                                      (null)      0x0400      0x0000
 122                           NVRAM_EF_BAND_INFO_LID          MT0X           000                                      (null)      0x0000      0x0000
 422               NVRAM_EF_GAS_WORKING_BAND_INFO_LID          MT15           000                                      (null)      0x0000      0x0000
 123                          NVRAM_EF_TST_FILTER_LID          MT0Y           003                                      (null)      0x0000      0x0000
 188                 NVRAM_EF_GAS_CSG_FINGERPRINT_LID          MT0A           000                                      (null)      0x0000      0x0000
 416                          NVRAM_EF_DHL_FILTER_LID          MT1K           000                                      (null)      0x0000      0x0000
 124                        NVRAM_EF_PORT_SETTING_LID          MT0Z           004                                      (null)      0x0000      0x2000
 158                           NVRAM_EF_SMSAL_SMS_LID          MT40           001                                      (null)      0x0000      0x0010
 159                  NVRAM_EF_SMSAL_MAILBOX_ADDR_LID          MT41           001                                      (null)      0x0100      0x0000
 160                  NVRAM_EF_SMSAL_COMMON_PARAM_LID          MT42           002                                      (null)      0x0100      0x0080
 161                          NVRAM_EF_SMSAL_SMSP_LID          MT43           000                                      (null)      0x0000      0x0010
 162                          NVRAM_EF_SMSAL_MWIS_LID          MT44           000                                      (null)      0x0000      0x0000
 163                       NVRAM_EF_CB_DEFAULT_CH_LID          MT45           000                                      (null)      0x0100      0x0080
 164                          NVRAM_EF_CB_CH_INFO_LID          MT46           003                                      (null)      0x0000      0x0080
 150                   NVRAM_EF_TCM_CID_0_PROFILE_LID          MT47           003                                      (null)      0x0000      0x0000
 151                     NVRAM_EF_TCM_PDP_PROFILE_LID          MT48           004                                      (null)      0x0000      0x0000
 152                            NVRAM_EF_CFU_FLAG_LID          MT49           000                                      (null)      0x0000      0x0000
 153                         NVRAM_EF_MM_LOCIGPRS_LID          MT4A           001                                      (null)      0x0000      0x0000
 155                         NVRAM_EF_ALS_LINE_ID_LID          MT4C           002                                      (null)      0x0100      0x0000
 156                               NVRAM_EF_MSCAP_LID          MT4D           001                                      (null)      0x0100      0x0000
 126                     NVRAM_EF_CLASSMARK_RACAP_LID          MT17           005                                      (null)      0x0000      0x0000
 127                          NVRAM_EF_SIM_ASSERT_LID          MT18           000                                      (null)      0x0000      0x0100
 128                            NVRAM_EF_RTC_DATA_LID          MT19           000                                      (null)      0x0000      0x0000
 129                             NVRAM_EF_NET_PAR_LID          MT1A           009                                      (null)      0x0000      0x0000
 142                  NVRAM_EF_UMTS_BAND_PRIORITY_LID          MT12           000                                      (null)      0x0000      0x0000
 420                   NVRAM_EF_UMTS_DMCR_SETTING_LID          MT13           000                                      (null)      0x0000      0x0000
 421               NVRAM_EF_UMTS_SIB_SKIP_SETTING_LID          MT14           000                                      (null)      0x0000      0x0000
 131                           NVRAM_EF_UMTS_IMSI_LID          UM02           000                                      (null)      0x0000      0x0008
 132                      NVRAM_EF_UMTS_START_HFN_LID          UM03           000                                      (null)      0x0000      0x0000
 133          NVRAM_EF_UMTS_USIME_RRC_DYNAMIC_CAP_LID          UM04           019                                      (null)      0x0000      0x0000
 138           NVRAM_EF_UMTS_FREQUENCY_REPOSITORY_LID          UM06           003                                      (null)      0x0000      0x0000
 139              NVRAM_EF_PREV_VISITED_CELL_INFO_LID          MT11           000                                      (null)      0x0000      0x0000
 140                         NVRAM_EF_UE_CSG_LIST_LID          MR01           000                                      (null)      0x0000      0x0000
 141               NVRAM_EF_UMTS_FINGERPRINT_INFO_LID          UM09           000                                      (null)      0x0000      0x0000
 134                      NVRAM_EF_L1_3G_CAL_DATA_LID          MT1B           000                                      (null)      0x0000      0x0000
 173                        NVRAM_EF_ETWS_SETTING_LID          MT32           000                                      (null)      0x0000      0x0000
 176                            NVRAM_EF_CSM_ESSP_LID          MT35           000                                      (null)      0x0000      0x0000
 143                   NVRAM_EF_CUST_HW_LEVEL_TBL_LID          MT67           004                                      (null)      0x0000      0x1040
 144                NVRAM_EF_UEM_MANUFACTURE_DATA_LID          MT68           001                                      (null)      0x0000      0x1000
 145                        NVRAM_EF_UEM_RMI_DATA_LID          MT69           002                                      (null)      0x0000      0x1000
 146                    NVRAM_EF_GPS_SETTING_DATA_LID          MT6D           000                                      (null)      0x0000      0x0000
 168                         NVRAM_EF_MS_SECURITY_LID          MT6G           003                                      (null)      0x0100      0x0008
 170                        NVRAM_EF_PHB_LN_ENTRY_LID          MT6H           003                                      (null)      0x0000      0x0000
 171                     NVRAM_EF_PHB_LN_TYPE_SEQ_LID          MT6I           000                                      (null)      0x0000      0x0000
 181                     NVRAM_EF_SYS_CACHE_OCTET_LID          MT6K           004                                      (null)      0x0000      0x2001
 185                      NVRAM_EF_RAC_PREFERENCE_LID          MT6S           010                                      (null)      0x0100      0x0080
 172             NVRAM_EF_PS_CONFORMANCE_TESTMODE_LID          MT6U           000                                      (null)      0x0000      0x0000
 169                                 NVRAM_EF_PHB_LID          MT6V           003                                      (null)      0x0000      0x0010
 196                          NVRAM_EF_TST_CONFIG_LID          MT72           001                                      (null)      0x0000      0x2000
 175                            NVRAM_EF_MSQ_LIST_LID          MT74           001                                      (null)      0x0000      0x0000
 261                  NVRAM_EF_EPSLOCI_EPSNSC_TIN_LID          MT75           002                                      (null)      0x0100      0x0080
 262                      NVRAM_EF_LTE_PREFERENCE_LID          MT76           005                                      (null)      0x0100      0x0080
 263                 NVRAM_EF_ERRC_STORED_CARRIER_LID          ER1A           000                                      (null)      0x0000      0x0000
 264               NVRAM_EF_ERRC_PERFORMANCE_PARA_LID          ER1B           002                                      (null)      0x0000      0x0000
 265                   NVRAM_EF_ERRC_FINGER_PRINT_LID          ER1C           000                                      (null)      0x0000      0x0000
 266                    NVRAM_EF_ERRC_LEARNED_MCC_LID          ER1D           001                                      (null)      0x0000      0x0000
 267                    NVRAM_EF_ERRC_STORED_CELL_LID          ER1E           000                                      (null)      0x0000      0x0000
 268                    NVRAM_EF_ERRC_AFR_SETTING_LID          ER1F           000                                      (null)      0x0000      0x0000
 269                             NVRAM_EF_LTE_CAP_LID          LTEA           003                                      (null)      0x0000      0x0000
 270                   NVRAM_EF_UE_EUTRA_CAP_CSFB_LID          LTEB           001                                      (null)      0x0000      0x0000
 271                   NVRAM_EF_UE_EUTRA_CAP_MMDC_LID          LTEC           001                                      (null)      0x0000      0x0000
 187                          NVRAM_EF_NWSEL_DATA_LID          MT77           000                                      (null)      0x0000      0x0000
 197                        NVRAM_EF_EL1_PWRONCAL_LID          EL08           000                                      (null)      0x1000      0x0000
 198                    NVRAM_EF_EL1_DSPLOGFILTER_LID          EL09           000                                      (null)      0x1000      0x0000
 199                      NVRAM_EF_EL1_FREQADJTBL_LID          EL0A           000                                      (null)      0x1400      0x0000
 200             NVRAM_EF_EL1_RSSIGAINTBL_1STBAND_LID          EL0B           000                                      (null)      0x1400      0x0000
 201             NVRAM_EF_EL1_RSSIGAINTBL_2NDBAND_LID          EL0C           000                                      (null)      0x1400      0x0000
 202             NVRAM_EF_EL1_RSSIGAINTBL_3RDBAND_LID          EL0D           000                                      (null)      0x1400      0x0000
 203             NVRAM_EF_EL1_RSSIGAINTBL_4THBAND_LID          EL0E           000                                      (null)      0x1400      0x0000
 204             NVRAM_EF_EL1_RSSIGAINTBL_5THBAND_LID          EL0F           000                                      (null)      0x1400      0x0000
 205             NVRAM_EF_EL1_RSSIGAINTBL_6THBAND_LID          EL0G           000                                      (null)      0x1400      0x0000
 206             NVRAM_EF_EL1_RSSIGAINTBL_7THBAND_LID          EL0H           000                                      (null)      0x1400      0x0000
 207             NVRAM_EF_EL1_RSSIGAINTBL_8THBAND_LID          EL0I           000                                      (null)      0x1400      0x0000
 208             NVRAM_EF_EL1_RSSIGAINTBL_9THBAND_LID          EL0J           000                                      (null)      0x1400      0x0000
 209            NVRAM_EF_EL1_RSSIGAINTBL_10THBAND_LID          EL0K           000                                      (null)      0x1400      0x0000
 210            NVRAM_EF_EL1_RSSIGAINTBL_11THBAND_LID          EL0L           000                                      (null)      0x1400      0x0000
 211            NVRAM_EF_EL1_RSSIGAINTBL_12THBAND_LID          EL0M           000                                      (null)      0x1400      0x0000
 212            NVRAM_EF_EL1_RSSIGAINTBL_13THBAND_LID          EL0N           000                                      (null)      0x1400      0x0000
 213            NVRAM_EF_EL1_RSSIGAINTBL_14THBAND_LID          EL0O           000                                      (null)      0x1400      0x0000
 214                     NVRAM_EF_EL1_CTRL_REG_RW_LID          EL1A           000                                      (null)      0x0000      0x0000
 215                   NVRAM_EF_EL1_TXDAC_1STBAND_LID          EL1B           000                                      (null)      0x1400      0x0000
 216                   NVRAM_EF_EL1_TXDAC_2NDBAND_LID          EL1C           000                                      (null)      0x1400      0x0000
 217                   NVRAM_EF_EL1_TXDAC_3RDBAND_LID          EL1D           000                                      (null)      0x1400      0x0000
 218                   NVRAM_EF_EL1_TXDAC_4THBAND_LID          EL1E           000                                      (null)      0x1400      0x0000
 219                   NVRAM_EF_EL1_TXDAC_5THBAND_LID          EL1F           000                                      (null)      0x1400      0x0000
 220                   NVRAM_EF_EL1_TXDAC_6THBAND_LID          EL1G           000                                      (null)      0x1400      0x0000
 221                   NVRAM_EF_EL1_TXDAC_7THBAND_LID          EL1H           000                                      (null)      0x1400      0x0000
 222                   NVRAM_EF_EL1_TXDAC_8THBAND_LID          EL1I           000                                      (null)      0x1400      0x0000
 223                   NVRAM_EF_EL1_TXDAC_9THBAND_LID          EL1J           000                                      (null)      0x1400      0x0000
 224                  NVRAM_EF_EL1_TXDAC_10THBAND_LID          EL1K           000                                      (null)      0x1400      0x0000
 225                  NVRAM_EF_EL1_TXDAC_11THBAND_LID          EL1L           000                                      (null)      0x1400      0x0000
 226                  NVRAM_EF_EL1_TXDAC_12THBAND_LID          EL1M           000                                      (null)      0x1400      0x0000
 227                  NVRAM_EF_EL1_TXDAC_13THBAND_LID          EL1N           000                                      (null)      0x1400      0x0000
 228                  NVRAM_EF_EL1_TXDAC_14THBAND_LID          EL1O           000                                      (null)      0x1400      0x0000
 229              NVRAM_EF_EL1_TXPAOCTLEV_1STBAND_LID          EL1P           000                                      (null)      0x1400      0x0000
 230              NVRAM_EF_EL1_TXPAOCTLEV_2NDBAND_LID          EL1Q           000                                      (null)      0x1400      0x0000
 231              NVRAM_EF_EL1_TXPAOCTLEV_3RDBAND_LID          EL1R           000                                      (null)      0x1400      0x0000
 232              NVRAM_EF_EL1_TXPAOCTLEV_4THBAND_LID          EL1S           000                                      (null)      0x1400      0x0000
 233              NVRAM_EF_EL1_TXPAOCTLEV_5THBAND_LID          EL1T           000                                      (null)      0x1400      0x0000
 234              NVRAM_EF_EL1_TXPAOCTLEV_6THBAND_LID          EL1U           000                                      (null)      0x1400      0x0000
 235              NVRAM_EF_EL1_TXPAOCTLEV_7THBAND_LID          EL1V           000                                      (null)      0x1400      0x0000
 236              NVRAM_EF_EL1_TXPAOCTLEV_8THBAND_LID          EL1W           000                                      (null)      0x1400      0x0000
 237              NVRAM_EF_EL1_TXPAOCTLEV_9THBAND_LID          EL1X           000                                      (null)      0x1400      0x0000
 238             NVRAM_EF_EL1_TXPAOCTLEV_10THBAND_LID          EL1Y           000                                      (null)      0x1400      0x0000
 239             NVRAM_EF_EL1_TXPAOCTLEV_11THBAND_LID          EL1Z           000                                      (null)      0x1400      0x0000
 240             NVRAM_EF_EL1_TXPAOCTLEV_12THBAND_LID          EL2A           000                                      (null)      0x1400      0x0000
 241             NVRAM_EF_EL1_TXPAOCTLEV_13THBAND_LID          EL2B           000                                      (null)      0x1400      0x0000
 242             NVRAM_EF_EL1_TXPAOCTLEV_14THBAND_LID          EL2C           000                                      (null)      0x1400      0x0000
 243            NVRAM_EF_EL1_ETVINLUTDATA_1STBAND_LID          EL2D           000                                      (null)      0x1400      0x0000
 244            NVRAM_EF_EL1_ETVINLUTDATA_2NDBAND_LID          EL2E           000                                      (null)      0x1400      0x0000
 245            NVRAM_EF_EL1_ETVINLUTDATA_3RDBAND_LID          EL2F           000                                      (null)      0x1400      0x0000
 246            NVRAM_EF_EL1_ETVINLUTDATA_4THBAND_LID          EL2G           000                                      (null)      0x1400      0x0000
 247            NVRAM_EF_EL1_ETVINLUTDATA_5THBAND_LID          EL2H           000                                      (null)      0x1400      0x0000
 248            NVRAM_EF_EL1_ETVINLUTDATA_6THBAND_LID          EL2I           000                                      (null)      0x1400      0x0000
 249            NVRAM_EF_EL1_ETVINLUTDATA_7THBAND_LID          EL2J           000                                      (null)      0x1400      0x0000
 250            NVRAM_EF_EL1_ETVINLUTDATA_8THBAND_LID          EL2K           000                                      (null)      0x1400      0x0000
 251            NVRAM_EF_EL1_ETVINLUTDATA_9THBAND_LID          EL2L           000                                      (null)      0x1400      0x0000
 252           NVRAM_EF_EL1_ETVINLUTDATA_10THBAND_LID          EL2M           000                                      (null)      0x1400      0x0000
 253           NVRAM_EF_EL1_ETVINLUTDATA_11THBAND_LID          EL2N           000                                      (null)      0x1400      0x0000
 254           NVRAM_EF_EL1_ETVINLUTDATA_12THBAND_LID          EL2O           000                                      (null)      0x1400      0x0000
 255           NVRAM_EF_EL1_ETVINLUTDATA_13THBAND_LID          EL2P           000                                      (null)      0x1400      0x0000
 256           NVRAM_EF_EL1_ETVINLUTDATA_14THBAND_LID          EL2Q           000                                      (null)      0x1400      0x0000
 257                     NVRAM_EF_EL1_ETCOMPPARAM_LID          EL2R           001                                      (null)      0x1400      0x0000
 258                  NVRAM_EF_EL1_TEMPERATUREDAC_LID          EL2S           000                                      (null)      0x1400      0x0000
 272                  NVRAM_EF_EL1_BAND_INDICATOR_LID          EL2T           000                                      (null)      0x1400      0x0000
 273                    NVRAM_EF_EL1_RX_PDATABASE_LID          EL2U           000                                      (null)      0x1400      0x0000
 274                    NVRAM_EF_EL1_TX_PDATABASE_LID          EL2V           000                                      (null)      0x1400      0x0000
 275                           NVRAM_EF_EL1_RF_IO_LID          EL2W           000                                      (null)      0x1400      0x0000
 276             NVRAM_EF_EL1_CUSTOM_DYNAMIC_INIT_LID          EL2X           000                                      (null)      0x1400      0x0000
 277       NVRAM_EF_EL1_CUSTOM_DYNAMIC_INIT_DEBUG_LID          EL2Y           003                                      (null)      0x1000      0x0000
 278               NVRAM_EF_EL1_RF_RX_PATH_CONFIG_LID          EL2Z           000                                      (null)      0x1400      0x0000
 279                    NVRAM_EF_EL1_MIPI_FEATURE_LID          EL30           000                                      (null)      0x1400      0x0000
 284           NVRAM_EF_EL1_MIPI_RX_EVENT_1STBAND_LID          EL31           000                                      (null)      0x1400      0x0000
 285           NVRAM_EF_EL1_MIPI_RX_EVENT_2NDBAND_LID          EL32           000                                      (null)      0x1400      0x0000
 286           NVRAM_EF_EL1_MIPI_RX_EVENT_3RDBAND_LID          EL33           000                                      (null)      0x1400      0x0000
